time,energy
273,1.2388639626869672e+34
274,1.2390098299465667e+34
275,1.2391500815431886e+34
276,1.2392837088015869e+34
277,1.239409707741898e+34
278,1.2395270863100495e+34
279,1.2396348719607027e+34
280,1.2397321195172747e+34
281,1.239817919221993e+34
282,1.2398914048774035e+34
283,1.2399517619696273e+34
284,1.2399982356537595e+34
285,1.2400301384741698e+34
286,1.240046857688138e+34
287,1.2400478620607848e+34
288,1.240032708003028e+34
289,1.2400010449322543e+34
290,1.2399526197473367e+34
291,1.2398872803251807e+34
292,1.2398049779646742e+34
293,1.239705768725103e+34
294,1.239589813629078e+34
295,1.2394573777240514e+34
296,1.2393088280206702e+34
297,1.2391446303497318e+34
298,1.2389653452015523e+34
299,1.2387716226313439e+34
300,1.2385641963311558e+34
301,1.2383438769825447e+34
302,1.2381115450140584e+34
303,1.2378681428937375e+34
304,1.2376146670891152e+34
305,1.2373521598258328e+34
306,1.2370817007712618e+34
307,1.2368043987618685e+34
308,1.23652138368294e+34
309,1.2362337985972735e+34
310,1.2359427922060456e+34
311,1.2356495117109203e+34
312,1.2353550961319732e+34
313,1.235060670121734e+34
314,1.2347673383019362e+34
315,1.2344761801367664e+34
316,1.2341882453447424e+34
317,1.2339045498410599e+34
318,1.233626072193334e+34
319,1.2333537505663098e+34
320,1.2330884801251603e+34
321,1.232831110862526e+34
322,1.2325824458112652e+34
323,1.232343239602968e+34
324,1.232114197331438e+34
325,1.2318959736804812e+34
326,1.2316891722762818e+34
327,1.231494345226303e+34
328,1.2313119928088272e+34
329,1.2311425632799074e+34
330,1.2309864527674642e+34
331,1.2308440052254793e+34
332,1.230715512424639e+34
333,1.2306012139593114e+34
334,1.230501297254417e+34
335,1.2304158975595456e+34
336,1.230345097921608e+34
337,1.2302889291313961e+34
338,1.2302473696435898e+34
339,1.2302203454740142e+34
340,1.2302077300821458e+34
341,1.230209344251019e+34
342,1.2302249559806548e+34
343,1.230254280414941e+34
344,1.2302969798255111e+34
345,1.230352663679572e+34
346,1.2304208888218292e+34
347,1.2305011598035922e+34
348,1.2305929293947634e+34
349,1.2306955993166036e+34
350,1.2308085212348447e+34
351,1.230930998053731e+34
